,content_cut
27,那个 香蕉 猫 在 哪里 合成 ?
28,我 以前 以为 我 很 吊 ， 当 看见 那些 主播 时 ， 我 感觉 我 很 菜 ? ?
29,大家 好 我 是 三年 老 玩家 我 最初 的 那个 号 是 2017 胖子 还 记得 有次 我 穿戴 壮志凌云 1 级 形态 一次 玩 自由 和 我 同样 的 穿戴 第一个 圣衣 一直 压着 我 吃 不 掉 到 后来 被 人 推刺 了 然后 我 就 大 骂 想想 当年 的 球球 回不去 了 咳 还是 觉得 以前 的 版本 好玩 就 这样
30,留下 你 的 ID ! 自 留下 ID 的 都 可 获得 美丽 善良 可爱 温柔体贴 吧 啦 吧 啦 的 萌新 的 两朵 玫瑰花 草呜鸣 不能 再 多 了 我 qiong 啊 .... ◎ 看 我 的 主页 我 只有 一点点 豆 然后 ... 别 走 ! 不许 走 ! & nbsp ; 2 七彩 / 1 巧 / 1 婚纱 送暖 心 留言 我 一般 送 两条 以上 ! 10 七彩 / 4 巧 / 1 钢琴 回关 带 迷雾 躺 赢 吧 ！ 我 虽然 不是 大佬 ， 但 我 能带 你 摘 星星 吖 ！ 然后 处一波 可爱 队友 ! 要求 : 要 有 素质 ! 拉 必须 进 ! 心 ﻿ ﻿ ﻿ ﻿ 态要 好 ! 技术 好不好 无所谓 可以 躺 ! 留言 回关 ! ﻿ ﻿ ﻿ ﻿ 小学生 勿扰 能 上 嘿嘿 连麦 优先 安排 ! 等 你 哟 ~ ❤
31,
32,鬼
33,以前 的 我 还有 几个 记得 大家 都 走 了
34,d 抽 这个 有 技巧 不 ， 我 这个 东西 不错 哎
35,为啥 球球 巨 行星 打不鸟 ， 哼唧 ╭ ╯ ^ ╰ ╮
36,你 差 一颗 星 就 上 超神 了 ， 可惜 退游 了
37,哪位 大哥 可以 送 我 个 皮肤 ， 谢谢 啦
38,四个 全 没有 队友 ， 球 还 一样 大 。 这 就 很 尴尬 啦 ， 当然 胜局 已 定
39,荣耀 局 ， 大逃杀 是 一个 人 打 18 个 呢 还是 一队 ？
40,打 这么 长时间 第一次 评分 这么 高 。 嘿嘿 嘿嘿 嘿嘿 ~
43,j 就 三天 啊 ， 我 还 以为 永久 呢 ～
44,我 也 是 蛮 幸运 的 ， 哈哈
45,充了 37 元
46,球球 太坑 了 ， 充值 的 金 蘑菇 没 了 ！ 赠送 金 蘑菇 好几千 开 大 奇妙 宝箱 顺带 着 充值 金 蘑菇 也 被 挪用 了 ！ 而且 没 提示 ！ 没 提示 ！ 没 提示 ！ 从此 转黑 ！ * 嘛 玩意 吗 ， 这么 黑 ！ 钱 刮风 逮着 的 么 ? 求 * 给 个 说法 ！
47,打球 关注 缺 躺 团 的 小宝贝 超级 稳 的
49,一觉 睡 到 了 中午 ， 有 球友 一 起来 把 球球 吗 ？ ?
50,找 队友 。 要 小姐姐 萝莉 。 ๑ • ̀ ॒ & nbsp ; ູ ॒ • ́ ๑ 啦 啦 啦
51,刚 回游 不 嫌弃 的 队友 + 小姐姐 + 本人 长时间 在线 小姐姐 加 我 想 每天 讲 情话 给 你 听 ♥ id3483407
52,
53,y 羽绒服 千万 不要 放 洗衣机
56,绿 的 ？ ？ ？ ？ ？
59,Q o co * se but the first time we h * e been there for a while and I think it was
60,跟 我 谈 吧 ， 我 超甜 的
61,嘻嘻 嘻
62,这 界面 为什么 这样 ， 考验 我 的 眼睛 啊 。 本来 我 技术 就 不行
63,是 我 的 苹果 手机 太 低端 了 发 不了 图片 吗 ？
64,想 找个 自由 的 队友 ， 刚 回游 ， 应该 还 能 踩 个 1500
65,想 问 一下 各位 大佬 们 我 已经 成年 了 但是 修改 防沉迷 * 要 用 原来 的 手机号码 但是 我换 手机号码 了 该 怎么办 急用 有 知道 的 吗 有 赏 的 哦 ﾍ ⌒ ヽ ﾌ （ ・ ω ・ ） 谢谢 ~ ~ / ~ つ
67,
68,
69,不 喜欢 生活 里 的 尔虞我诈 勾心斗角 ， 喜欢 玩游戏 ， 喜欢 游戏 里 的 友情 ， 虽然 有时 真实 ， 有时 虚拟 … … 却 很 美好 ? ?
70,球球 是 好玩 ， 乱 吠 的 狗 也 很多 。
71,昨天 遇到 骗 号 的 了 ， 我 想 知道 怎么 举报 他 ， 骗子 ID 听 雨声 666
74,这个 ID 表示 很酷 呀 ， 没人 占 哦 ， 赶紧 抢 吧 ฅ ̳ • ◡ • ̳ ฅ ﻿ @ 心动 甜 崽
75,被 骗 了 ， 可以 麻烦 大家 举报 他 吗 ， 才 玩 一个月 就 被 骗 了 ， 快 哭 了
76,
77,好吃 好吃 好吃 好吃
78,待路 飞成 王 ， 我 的 青春 就 结束 了
79,* 。 。 。 。 。 。 。 。 。 。 。
81,用 我 照片 当头 像 ？ ？ 妈耶 这么 刺激 的 嘛 ？ 😤
82,俩 月 第一次 😂
83,找 队友 ， 技术 一般 就行
84,怎么 说 呢 🤔
85,有 几个 问题 想 请教 ﻿ @ 球球 大 作战 ﻿ 为什么 双冠 模式 ， 几乎 每局 都 要 掉线 一次 ？ 然后 糖果 商店 那个 转盘 什么 时候 回来 ？ ？ 你 下架 的 时候 都 不 预告 的 ？ 碎片 商店 的 皮肤 什么 时候 更新 ？ ？ ？ 回收 皮肤 的 评估 时间 能 不能 短 一点 ？ ？ ？ ？ 动不动 就 十几天 真的 很绝 🙃 圣衣 麻烦 也 出 一个 回收 模式 收藏家 请 尽快 上线 那些 刷 观战 的 gf 不 知道 ？ 你们 程序员 吃白饭 的 啊 还是 说 卖 观战 也 是 你们 公司 的 收益 来源 🙃 最后 不作 死 不会 死祝 火红 🙃
87,有没有 一起 互刷 礼物 的
88,真的 好 想要 孙悟空 满级 啊 ， 可 就是 没有 棒棒糖 。
91,怎么 得 那个 。 小何 呢 ？
92,谁 在 说 我 单身 我 都 不 愿意 😂
93,私 の 義 姉 は 、 コ ン ト ロ ー ラ ド ラ ゴ ン で は な く 、 私 た ち の 寮 を 提供 し て い た の で 、 ケ ン 砲 塔 は 、 豆 * を 飲 ん で い た 。 ﻿ @ 小执 阿 ﻿ ﻿ @ 小执 阿
95,我 想 问 一下 ， 改名 卡 是不是 坑 钱 的 ？ 不能 用 。 手机号 丢 了 ，
96,I like blue sky because it is blue
98,技术 不是 很 好 ， 请 不要 以貌 看人 ， 以技 看人 ， 文明 游戏 ， 文明 交流 ✔ ✔
100,喽 喽 喽
101,找 队友 ， 技术 一般 ， 不 嫌弃 我 的 ， 或者 一起 练 的 扣 我 ， 哦 不要 未成年 谢谢 。
102,可以 吗 ？
105,求 一个 星星 和 月亮 小汽车 也 可以 ^ _ ^
106,这 就是 个 坑
107,新来 的 ？
109,我肿 么 了 ？ ？ ？ 难搞 噢 .....
110,想 找 个 小 师傅 ！ 嘻嘻 嘻 ！
112,
113,我 玩球 球大 作战 三年 了 ， 自从 喜欢 上 了 她 ， 我 就 觉得 不好玩 了 ， 在 玩 几天 就 把 游戏 都 删掉
114,我 反手 就是 一个 ... 小心 心 ， 你 要 吗 ?
117,原创 孢子 ～ ID 刘宇宁 大老婆 球球 号 410410
118,这是 什么 东西
119,触手 搜索 老王 + 每天 带粉 上 超神 ！ 房间 号 31900585
120,球球 不 倒 陪你到 老
121,吃饭 睡觉 ， 打球 球
122,我 玩球 球 已经 2 年 了 ， 希望 球球 永远 陪 在 我们 的 身边 。
123,收大 手子
124,哈哈哈 这个 好像 有点 好玩
125,哈哈哈
126,我 问 大家 一个 事 ， 就是 绑定 的 手机号 注销 了 怎么 换 手机号 ， 我 打 了 电话 但是 没有 人工 服务 问球球 也 没有 回复 我 ， 我 就 想 知道 这个 球球 号 ID : 当 你 爱 我 时 ， 怎么 改 手机号 啊 ， 由于 是 我 小号 没有 绑定 邮箱 什么 的 ， 绑定 的 手机号 不 小心 被 我 注销 了 ， 现在 好像 还 没有 人用 ， 打电话 是 欠费 什么 的 ， 到底 怎么办 怎么办 怎么办 啊 ！ ( ╥ ╯ ^ ╰ ╥ ) ( ╥ ╯ ^ ╰ ╥ ) ( ╥ ╯ ^ ╰ ╥ )
127,什么 意思 糖豆
128,emmmmmm ~ 想 找 个 小 仙女
129,仔细阅读
130,
131,你们好 真的 好气 哟 还 差 一个 就 可以 兑换 小 太阳 了 我 说 过 在 充 q 我 是 shabi 哈哈哈哈
132,头 通通 通
133,谁 还 记得 球球 刚 开始 是 什么样 的
134,rap ?
135,球球 我 玩 了 一年 多 了 但是 队友 还是 很少 求 一些 队友 带 我 飞
136,“ 服务器 神游 中 … … （ 2 ） ” 这句 话 你们 今天 见过 多少 次 了 ？
137,有没有 一起 玩 的 啊 现在 就 剩 我 一个 了 好烦
138,哈哈哈哈 ， 可爱 ớ ₃ ờ 双 児
139,球球 的 那个 视频 真的 很 好 … … 我 大概 是 在 17 年 玩 的 球球 吧 ， 那 一年 我 和 我 的 小伙伴 们 一起 玩球 球 ， 真的 很 开心 。 18 年 的 玩 时候 ， 发现 球球 好像 有 那里 不 一样 了 … 看着 好友 们 一个 一个 的 删 游戏 … 我 打算 也 和 她们 一起 删 游戏 了 。 19 年 。 我 在 和 朋友 玩 的 时候 发现 他 现在 把 球球 下 回来 了 … 那时 我 真的 很 激动 ， 连忙 去 把 球球 下 回来 ， 对 他 说 : “ 我们 一起 玩球 球 吧 。 ” 今天 球球 更新 了 ， 一点 开球 球 发现 它 前面 有个 视频 … 看 完 视频 后 … 真的 很 感动 。 虽然 现在 一起 玩球 球 的 人少 了 好多 ， 但是 我 今天 下定决心 一定 要 把 那些 删 游戏 的 小伙伴 找 回来 对 他们 说 : “ 你们 看球球 变回来 了 ！ ” 球球 真的 很棒 ！
140,这个 游戏 以前 很 好 现在 一些 人 玩 的 建
141,有没有 生存 厉害 的 ？ 无偿 生存 加 我 ， 我 有 500 票
142,
143,很 感动 ， 球球 三年 陪伴 ， 永不 独行 ， 加油
144,史上 最高 1000 盾
145,更新 后团 战好 卡 都 看不到 样子 。 开团 还 进不去 。
146,软软 祝 大家 猪猪 年 快 来 啦
147,球球 大 作战 玩 了 一年 。
148,我 想 找 一个 有 心态 又 有 技术 的 队友
149,谁 能 告诉 我球 球里 的 寻宝 去 哪 了 ？
150,奋斗 ！
151,
152,寻三指 素质 好友 + 小姐姐 加 我 就 Ok
153,我 不管 ， 我要 找个 对象 过年 ， 我 男 的 ， 已成 年
154,累
155,玩球 球大 作战 产不多 5 - 6 年 了 。 请求 关注 我 ， 谢谢 ！
156,找 队友 啊 ， 能带 我 上个 超神 ， 退游 了 一段时间 ， 这 赛季 才 开始 玩 ， 自己 一个 人刷 大逃杀 ， 好 累
157,想 找 一个 可爱 的 小姐姐 一起
158,感谢 球球 大 作战 陪 我 度过 那些 难过 无聊 的 时间 ， 球球 不 倒 ， 陪你到 老 ！ 最后 表白 我家 @ 浪浪
159,我 玩 了 三年 的 球球 ， 坑 了 就 被 骂 ， 但是 我 还是 永远 支持 球球 。 希望 能 让 更 多 人来 玩 ！
160,不知不觉 三年 了 ， 球球 ， 爱 你 ！
161,你们 有没有 人 是 竖 着 玩球 球 的
162,球球 玩 三年 多 了 吧 ， 虽然 现在 不 咋玩 了 ， 但是 这 还是 我 的 回忆 啊 。
163,
164,什么 跟 什么 ？ 球球 现在 更新 的 什么 ？ 球球 不行 了 ， 还 能 了 花里胡哨 的 。 越来越 不 适应 了 。
165,你 以 被 警告 ！ ！ ！
166,我 玩球 球 完 了 三年 ， 可 技术 越来越 菜 如果 不 嫌 我 我们 一起 玩球 球
167,点点 关注 ， 带 超神
168,来 呀 一起 浪 ， 老年 手速
170,一起 打球 球 么 咯 刚 回游 会 玩 的 加下 关注 有关 必回 ！ QQ ： 2532321083 @ 所有 球宝
171,31 个 赛季 ， 现在 却成 了 青铜 心里 难受 有没有 一起 玩 的 ， 加 我
172,关注 ID 羽缎 。 。 。 。 。 。 。 。 。
173,谢谢 你 ﻿ @ Heart 小丑 ﻿ ， 谢谢 你 拉 我 打 那 局团 ， 让 我 遇见 了 那么 好 的 她 @ （ ）
174,有没有 是 叔叔 阿姨 级别 玩 的 人
175,有 一些 老 玩家 都 段位 低 但是 有人 说 他们 辣 *
176,我 玩球 球 三年 。 陪伴着 我 三年 。 皮肤 越来越 多 ， 技术 越来越 好 。 我 希望 2019 年球球 的 活动 越来越 好 。 球球 是 2019 年 的 希望 。
177,2019 年 到 了 ， 我会 归 了
178,2019 球球 不 倒 ， 陪你到 老 ！ ！
179,什么 时候 可以 拥有 固定 队友 我 已经 自闭 了
180,2019 ， 大家 快乐 ^ o ^
181,不 知道 这个 算不算 ? ?
182,伙计 ， 在 吗 ？ 处个 对象 ？
184,2019
185,这 一路上 走走停停 ， 遇见 了 很多 的 真心 球友 ， 也 体会 到 了 和 球友 一起 冲榜 的 喜悦 心情 ， 有时 欢乐 有时 急躁 ， 这 就是 球球 。 最后 说出 那句 不变 的 誓言 ： 球球 不 倒 ， 陪你到 老 ！ 祝你们 2019 新年快乐 ！
186,2019 ， 球球 ， 爱 你 依旧 ， 希望 大家 暴富 ， 变美 ， 变帅 ， 口袋 的 棒棒糖 多多 ， 猪年 大吉 ， 万事如意 ！
187,看 我 多 牛 ， 第五 张图
188,yle = color : rgb81 80 70 ; > 2016 年入 坑 ， 从刚 开始 的 萌新 成长 到 现在 ， 也 算是 见证 了 球球 大 作战 由盛 转衰 的 过程 ， 这几年来 只要 一有 时间 我 就 会 打开 球球 ， 慢慢 的 形成 了 习惯 。 直到 有 一天 我 意识 到 我 在 玩 这个 游戏 时 错过 了 太多太多 美好 的 事物 ， 再 翻开 好友 列表 最后 几栏 ， 回 想起 以前 拉 舍友 一起 通宵 打球 球 ， 不禁 有点 心酸 ， 估计 过 不了 多久 我 也 该 退游 了 ， 偶尔 也 会 想起 大家 ， 登 进来 看看 ， 看看 好友 有没有 取关 我 ， 球球 是不是 做 的 越来越 好 ， 送点 小 礼物 给 我 的 粉丝 们 等等 … … 夜深 了 ， 就 写 到 这 吧
189,好 尴尬
190,去污 包子 是 什么
191,2019 年 祝 大家 猪年 快乐
192,2019 的 希望 能 拥有 更 多 的 皮肤
193,2019 我们 一起 冲 鸭 ！
194,球球 是 我 的 青春
195,球球现 现在 打 双冠 模式 ， 很 好 升段 才 两天 ， 我 就 超神 了 一直 在 玩球 球 不要 放弃 还有 我 是 小姐姐 ， 加 关注 一起 玩
196,
197,给 不 给 啊
198,重新 进入 游戏 。 很多 都 不会 了 ， 手速 实在 是 硬伤 了
199,
200,2019 越来越 好
201,ID 方 宇航
202,唯一 的 爱好 就是 一堆 朋友 一起 讨论 球球 偶尔 讨论 生活 。 欢迎 加入 球球 大 作战 ， 群聊 号码 ： 211828712
203,2 月 1 * ios 充值 了 到 今天 还 没有 到 账 ， 用安卓试 了 一下 秒 到 账 ， 有人 可以 告诉 我 这 是 什么 情况 吗 ？
204,听说 集齐 9 张 包含 2019 的 球球 图片 可以 召唤 金 蘑菇 。 也 希望 在 新 的 一年 球球 能 越 办越 好 ， 获利 多多 ！ 球宝们 玩 的 开心 ， 交到 更 多 的 朋友 。
205,这 是 我 在 游戏 里 找到 关于 2019 的
206,祝 大家 2019 年 新年快乐 ！ 能 不能 告诉 我 香蕉 猫 孢子 怎么 合 ？ 在线 等 ， 急 ！ 能 不能 告诉 我 香蕉 猫 孢子 怎么 合 ？ 在线 等 ， 急 ！
207,2019 的 希望
208,球球 不 倒 ， 陪你到 老 。
209,现在 新出 套 钱 方式 ， 扣费 成功 ， 充值 失败 ？ 球球 已经 坑 我 两次 了 ， 一次 6 块 就算 了 ， 我 又 冲个 拉力 车 ， 还 充不上 ？
210,福利
211,很 喜欢 球球 希望 它 不会 卡 ， 满满 回忆
212,没 故事 。 。 。 。 。 。 。 。 。 。 。
213,请 大家 看看 怎么 才能 合成 这 两件 皮肤
214,终于 上 福建省 排名 了
215,关于 打 怪兽 那个 模式 ， 今天 遇见 了 一个 奇怪 的 事 ， 他 过 了 差不多 两分钟 才 复活 ， 打死 了 又 不见 了 ， 怎么回事 ？
216,有人 说球球 回来 了 ， 没错 ， 球球 或许 是 回来 了 ， 但 也 只是 那么 几天 而已 … … 没过几天 他 就 又 回去 了 … … （ 棒棒糖 变得 廉价 ， 碎片 商店 似乎 没有 半点儿 存在 的 意义 儿 ， 还有 那个 魔 灵宝 箱得 那么点儿 材料 还 好意思 说 打折 … … ）
217,我 打 了 一年 才 获得 这些 皮肤 ！
218,＃ 2019 的 希望 ＃
219,ID ： 貔貅 yo _ 互粉 爱心 ? QQ1648982103
220,有木有 小姐姐 处 队友 ， 或者 加 我 QQ926008738
221,我 容易 吗 ？ 我 っ ╥ ╯ ﹏ ╰ ╥ c
222,什么 也 不用说 ， 想 玩 的 ＋ id 你 口中 的 废苏
223,求 队友 跟 我 一起 玩 ， 找 对友
224,
225,大佬 给 我 一个 暖心 留言 吧 再 帮 我 的 利姆鲁点 一下 赞 谢谢 你 了
226,怎么样 才能 中分 啊 … …
227,ID 記憶 不 完美 陪 着 球球 走 了 3 年 了 看着 他 长大 ， 一步步 走向 成功 ， 球球 不 老 ， 我们 陪 老
229,爱球球 ◍ ˃ ̶ ᗜ ˂ ̶ ◍ ✩
230,yle = color : rgb81 80 70 ; > 从 看 别人 玩儿 到 自己 玩儿 ， 到 别人 看 自己 玩儿 ， 到 退游 ， 到 回归 ， 一次 又 一次 的 退 ， 一次 又 一次 的 的 回归 ， 经历 丢 号 ， 重新 注册 ， 技术 是 不见 长进 ， 但是 我 不是 为了 名次 和 热度 ， 我 是 为了 好玩儿 ， 在 被 别人 吃 了 气 翻时 ， 一些 奇葩 的 球宝能 让 我 捧腹大笑 ， 做 良心 游戏 ， 支持 ♥
231,一起 玩球 球不咯 很 坑 很 坑 的 那种 快手 搜索 yang2927527780
232,♡ 双冠 模式 超 好玩 哟 〈 ? ノ
233,老大 回归 ！
234,
235,越想 越 多 以后 ， 想 说 的话 越来越 说不出口 。
236,球球 有 几年 我 就 玩 了 几年 。 我 在 玩 的 当中 遇到 了 很多 困难 。 还是 我 的 好友 帮 我 解决 了 困难 。 谢谢 你 球球 让 我 感到 很 快乐
237,哈哈哈 哈哈哈 终于 一千天 了
238,球球 大 作战 已经 陪伴 我 五年 了 ， 在 这里 它 让 我 明白 了 一 道理 。 它 让 我 懂得 合作 ， 懂得 珍惜 ， 即便 有些 新 玩家 * 作 不 咋样 ， 也 不能 出口 成脏 。 因为 你 也 是从 那个 时候 出发 的 ！
239,玩 着 玩 着 就 没 队友 了 ?
240,就是 爱 你 tyd 明天 都 在 想 你
241,人少 了 ， 人机 多 了 。
242,我 想 请假 一下 ， 别人 送 的 礼物 怎样 收取
243,666
244,我 喜欢 他 ， 千纸鹤 孢子 出来 的 时候 ， 砸 了 2w 蘑菇 都 没 开到 ， 有点 失望 ， 希望 2019 会 更好 吧
245,唔 一起 打球 球不咯 天天 熬夜 那种 喔 ?
247,情人节 快乐 ， 送给 大家 一个 惊喜 ， 看 我 收藏 点 。 祝球球 大 作战 越变 越 好 ✪ ▽ ✪
248,呃 呃 ?
249,
250,就是 ， 蹲 一个 超级 厉害 的 小 哥哥 打 双冠 ， 不凶 不 嫌弃 我菜 其实 也 可以 打团 哒 大逃杀 什么 什么 的 都 可以 下面 的 图片 是 我 主页 ， 有点 菜 啊 呸 ， 超级 菜求 带 吖
251,我 玩球 球大 作战 2 年 了 ，
252,找个 球友 ！ ！ 可以 一起 玩 的 那种 ， 不 骂人 ， 心态 好 我 有点 笨 ， 希望 可以 带 我 ！ ！ 长期 可玩 的 加 QQ
253,找 一个 小姐姐 一起 玩 啊
254,真 好
255,抽银 宝箱 时 明明 停到 了 120 棒棒糖 ， 结果 故意 卡到 1 彩豆
256,我 从 小学 开始 打球 球 ， 一 开始 不会 玩 ， 用 游客 的 没 注册 的 去 玩 ， 后来 就 被 骂 的 不想 去 玩 了 ， 但 不久 后 ， 初一 ， 我 又 开始 了 我 的 球球 之 旅 ， 开始 学会 了 技术 ， 开始 了 冲段 ， 想要 高人一等 ， 一 开始 ， 我 都 在 玩 自由 ， 团队 ， 那时 主播 不 多 ， 大球 追 着 小球 跑 ， 觉得 好玩 。 然后 ， 主播 多 了 ， 好友 退游 ， 又 出 了 大逃杀 ， 就 不 打 自由 和 团 了 。 一方面 是 怕 打 ， 另一方面 是 没 队友 打 ， 因为 都 退游 了 。 现在 ， 面临 着 中考 的 我 ， 寒假 马上 结束 ， 作业 还有 一大堆 ， 我 总是 认为 自己 聪明 ， 高人一等 ， 优秀 。 在 别人 做主 科 ， 背副科 的 时候 ， 我 开始 了 打游戏 。 在 别人 学习 学到 十二点 的 时候 ， 我 在 看电视 电影 。 但 我 以为 我 还 能行 ， 放下 手机 ， 去 拼搏 ， 拼出 不 一样 ！ 游戏 终究 还是 游戏 ， 不要 沉迷 ， 去 学习 吧 ， 朋友 们 ！
257,yle = color : rgb81 80 70 ; > 我 不 知道 ， 刚刚 一下 把 凯旋 卖 了 想 哭 ， 现在 买 不了 了 ， 玩 了 3 年 现在 想 放弃 了 ， 我 就是 手有 病 我 的 凯旋 啊 我 想 你 了 。
258,夸夸 徐峥 小盆友 战绩 看来 ， 真的 是 太 优秀 了 吧 ！ 花花 什么 时候 也 能 这么 厉害 呀 ！
259,谁 能 告诉 我 关键词 马达加斯加 怎么 得 啊 ？ 在线 等 。
260,一个 电话 打 来说 我 挂机 怎么办
261,小学生 太 多 喜欢 抢球 ﻿ ﻿ 6666666666666666666666666666666666666666
262,咳咳 ， 金 蘑菇
263,旧言 : 我 很 菜 水果 然后 面对 不 起来 了 啊
264,双冠 一千多 盾 ， 还有 谁 比 我 多
265,再 坚持 一下 ， 马上 就 下课 可以 吃 午饭 啦 ， 开心 吃 肉 去 ～
266,
268,
269,那个 人 是 我 ， 我 今年 16 岁 了 ！
272,出其不意 ， 曲 奇巧 胜 左右 肩 夹 前后 得 红 。
273,玩球 球大 作战 已经 两年 多 了 ， 玩 的 非常 开心 ， 虽然 有时候 有些 失落 ， 但是 也 非常 的 开心 。
275,找 一个 可以 一起 玩 的 呢
276,看看 我 的 眼
277,好烦 啊 有 下 下 下 下 下雨 啦
278,让 我 做 你 的 眼睛 角 哪里 亮 啦 啦 啦 啦 。
279,万年 * 啊 ～ 哈哈哈 ， 不过 拿 了 一次 第一 ， 没 截图 信任 加 留言板 q
280,
281,喜欢 上 了 球球 大 作战 这个 游戏 ， 都 是因为 认识 了 他 ， 教会 了 我 玩游戏 ， 原本 我 是 一个 从来不 会 玩游戏 的 人 ！ 直到现在 依然 爱球球 大 作战 这 游戏 ！
282,打球 球 打 的 眼睛 都 肿 了
283,@ 小 棉花 在 闲逛 ﻿ ﻿ @ sophiawu917 ﻿ h 哈哈哈 哈哈哈 哈哈哈
284,又 只 差 一个
286,今天 中午 ， id 约 聊 ， 互刷 礼物 ， 我 看 小姑 凉 ， 刷 就 刷 吧 ， 毕竟 就 十个 七彩 结果 就 这样 ， 希望 大家 注意 这个 人 ， 不要 上当 ！
287,说不清 的 难过 … … … … … …
289,
290,
292,请 大家 记住 这个 人 ， 这 是 个 骗子 ， 说好 的 互礼 结果 我 给 他 送 完后 就 将 我拉入 黑名单 了
294,评估 半个 月 才 621 棒棒糖 ？ ？ ！ ！ 这 评估 到底 什么 机制 ？
295,坑 我 金 蘑菇 ， 我 去 抽 了 照样 扣金 蘑菇 ， 官方 大大 给 个 解释
296,有 一起 打 ， 球球 的 吗 ？ 有 找 男朋友 的 小姐姐 吗 ？
297,有没有 比 我 分数 更 低 的 人 了 ？
298,愿 天堂 没有 球球
299,mad 出来 这个 100 分 真特 么 的 恶心 弄 得 我 又 想 卸 游戏 了 ， 就 不会 匹配 到 一点 会 玩 的 吗 ， 一群 破 小学生 ， 没 一点 教养 ， 就 知道 骂骂 骂 ， 恶心 人 。
300,还 可以 噢 ！ ， 就是 不怎么 会 玩 ， 哪个 大神 求带 飞 呢 呀 ？
301,球球 ？ 我 已经 退出 快 2 年 了 当初 为了 凯旋 多少 玩家 每天 不断 打 段位 我 发现 有 了 论坛 只想 下 回来 说述 一下 球球 现在 球球 已经 成为 他们 赚钱 的 游戏 了 不 在 火 了 接下来 面临 的 将 是 倒闭 ...
302,球球 大 作战 玩 了 好久 只想 找个 会 玩 的 队友 会 玩 可以 赶快 关注 一下 吧
303,贼 菜
304,谁 能 送 我 皮肤 ？ 我 关注 他 ， 我 有 十个 号
305,刚 回归 几年 没玩 了 有没有 哪个 大神 小姐姐 帮 我 打下 生存 搞点 材料 谢谢 有 的话 滴滴 我
306,我肥来 啦 ❤ ️
307,
308,我 已经 习惯 一个 人 · 走 在 街头
309,有点 蓝瘦 。
310,下过 雨 之后 空气 真 清新
312,网络 以 卡死
313,我 的 游戏 语音 不 知道 被 那个 fulk 举报 了 封 了 七 天下 周六 等 我 回来 还有 宝贝 ﻿ @ 天梦飘 了 吖
314,真 好
