,chatmsg_cut,index,label_name,Actual,
118,小 哥哥 别 给 鸟儿 放假 了 ， 买爽 片加 QQ ： 2748922307 什么 都 有 ， 萝莉 ， 制服 ， 萝莉 等等 还有 （ 直播 软件 各种 软件 ） 切记 ， 不买 勿扰,1,1,1,√
119,名人 不说 暗话 ， 我 骗个 访客 ^ _ ^,0,0,0,√
120,能 踩 hello 听话 常 在线 跟班 + 喜欢 踩 吞噬 的 私聊 我 回关 每天晚上 跟 我 一起 打白 开心 就 好 记得 私聊 我 主动 关注 你 明天 早上 全部 回复,0,0,0,√
121,观战 50 人一 小时 0.6 元 100 人 观战 一 小时 1.15 元 网址 ： mrnor 点 cn 免费送 分站,1,1,1,√
122,高质量 热门 观战 低至 0.1 元 ， 货源 网 24 小时 自助 下单 链接 : wst1 * * * 免费 搭建 专业 分战 ， 群号 : 810046821,1,1,1,√
123,一分钱 买 50 人 观战 ， 一手 货源 群 ， 冰红茶 ， KFC 卡 ， 留言 攒 等 最低价 q 群 702070836,1,1,1,√
124,玩 红包 接龙 加微 121200279,1,1,1,√
125,一分钱 买 50 人 观战 ， 一手 货源 群 ， 冰红茶 ， KFC 卡 ， 留言 攒 等 最低价 q 群 702070836,1,1,1,√
126,最新 观战 ！ 全新 货源 平台 ！ 欢迎 主 站 代理 拿货 ！ 44ka . top 浏览器 打开 ！ 全网 最低价 ！ 实力 平台 ！ 限时 免费送 66gz . top 浏览器 打开,1,1,1,√
127,能 踩 hello 听话 常 在线 跟班 + 喜欢 踩 吞噬 的 私聊 我 回关 每天晚上 跟 我 一起 打白 开心 就 好 记得 私聊 我 主动 关注 你 明天 早上 全部 回复,0,0,1,×
128,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi 小妞 新群,1,1,1,√
129,别 给 鸟儿 放假 了 ， 小 哥哥 买爽 片加 QQ ： 2748922307 什么 都 有 ， 快点 来 吧 ， 还有 各种 软件 t 哟,1,1,1,√
130,7 元 1 千万部 极品 大 . 片 （ 杨幂 热巴 潜规则 都 有 ） QQ1053913518 买 了 可 免费 深夜 聊污 （ 同行 举抱 放心 添加 ）,1,1,1,√
131,买 2018 爽片加 QQ : 2748922307 有萝莉 ， 制服 ， 丝袜 ， 剧情 ， 大学生 ， 网红 ， 明星 ， 直播 软件 ， 等等 ， 小 哥哥 快点 来 不 吧 啊啊啊,1,1,1,√
132,玩 红包 接龙 加微 121200279,1,1,1,√
133,老板 们 该 买片 了 A . V 软件 . 网站 可 搜 （ 萝莉 ， 明星 ， 丝袜 ， 一线天 vip ） 应有尽有 可 截图 ios 可用 5r 购买 + q3422928788,1,1,1,√
134,喜 自由 能 踩 hello 跟班 仙女 给 我 留言 我 关注 你,0,0,0,√
135,逃杀 来,0,0,0,√
136,买 2018 爽片加 QQ : 2748922307 有萝莉 ， 制服 ， 丝袜 ， 剧情 ， 大学生 ， 网红 ， 明星 ， 直播 软件 ， 等等 ， 小 哥哥 快点 来 不 吧 啊啊啊,1,1,1,√
137,逃杀,0,0,0,√
138,逃杀 吗,0,0,0,√
139,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi 小妞 新群,1,1,1,√
140,别 给 鸟儿 放假 了 ， 小 哥哥 买爽 片加 QQ ： 2748922307 什么 都 有 ， 快点 来 吧 ， 还有 各种 软件 t 哟 别 给 鸟儿 放假 了 ， 小 哥哥 买爽 片加 QQ ：,1,1,1,√
141,处 对象 资料 有 本人 照片 ， 迷雾 来 三个 躺 的 ， 处 各种 模式 的 队友,0,0,0,√
142,别 给 鸟儿 放假 了 ， 小 哥哥 买爽 片加 QQ ： 2748922307 什么 都 有 ， 快点 来 吧 ， 还有 各种 软件 t 哟,1,1,1,√
143,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi 小妞 新群,1,1,1,√
144,喜 自由 能 踩 hello 跟班 仙女 给 我 留言 我 关注 你,0,0,0,√
145,这里 有片 / 大学生 / 萝莉 / * * / 网红 / 直播 软件 / 小视频 软件 / 统统 都 有加 扣 2528753088 * * 勿扰,1,1,1,√
146,实力 逃杀 加拒 废,0,0,0,√
147,实力,0,0,0,√
148,荣耀 迷雾 ＋ 紫框 拒废能 吃 人,0,0,0,√
149,超低价 下单 网 + qq2172966137 发,1,1,1,√
150,逃杀,0,0,0,√
151,高质量 热门 观战 低至 0.1 元 ， 货源 网 24 小时 自助 下单 链接 : wst1 * * * 免费 搭建 专业 分战 ， 群号 : 810046821,1,1,1,√
152,大逃杀 d,0,0,0,√
153,d ? d,0,0,0,√
154,逃杀,0,0,0,√
155,处 对象 资料 有 本人 照片 ， 迷雾 来 三个 躺 的 ， 处 各种 模式 的 队友,0,0,0,√
156,名人 不说 暗话 ， 我 骗个 访客 ^ _ ^,0,0,0,√
157,老板 们 该 买片 了 A . V 软件 . 网站 可 搜 （ 萝莉 ， 明星 ， 丝袜 ， 一线天 vip ） 应有尽有 可 截图 ios 可用 5r 购买 + q3422928788,1,1,1,√
158,专一 送头 小 跟班 仙女 + q937788312 ， 三分钟 热度 就 别来 了 。 私聊 已开 y +,1,1,0,×
159,逃杀 速度 加 ， 刚 回游,0,0,0,√
160,逃杀 d,0,0,0,√
161,专一 送头 小 跟班 仙女 + q937788312 ， 三分钟 热度 就 别来 了 。 私聊 已开 y +,1,1,1,√
162,鸟儿 别 放假 了 售 （ 韩国 女主播 ， 网红 ， 萝莉 ， 明星 ， 丝袜 ， 一线天 ） 应有尽有 ， 市面上 有 的 都 有 ， 网站 或 软件 5r ， 有意 3413977306,1,1,1,√
163,连 睡 +,0,0,0,√
164,名人 不说 暗话 ， 我 骗个 访客 ^ _ ^,0,0,0,√
165,逃杀,0,0,0,√
166,逃杀 +,0,0,0,√
167,长期 打团 搭档 ＋,0,0,0,√
168,别 给 鸟儿 放假 了 ， 小 哥哥 买爽 片加 QQ ： 2748922307 什么 都 有 ， 快点 来 吧 ， 还有 各种 软件 t 哟 别 给 鸟儿 放假 了 ， 小 哥哥 买爽 片加 QQ ：,1,1,1,√
169,观战 50 人一 小时 热门 0.3 元 ， 100 人 观战 0.5 元 网址 luojieds . top 售后 群 244519508,1,1,1,√
170,这里 有片 / 大学生 / 萝莉 / * * / 网红 / 直播 软件 / 小视频 软件 / 统统 都 有加 扣 2528753088 * * 勿扰,1,1,1,√
171,喜 自由 能 踩 hello 跟班 仙女 给 我 留言 我 关注 你,0,0,0,√
172,现在 打团 大逃杀 +,0,0,0,√
173,喜 自由 能 踩 hello 跟班 仙女 给 我 留言 我 关注 你,0,0,0,√
174,安稳 走心 对象 + chu 号 ， 看 上代 ， 4500 糖 4100 蘑菇 ， 榜 逃 +,1,1,1,√
175,名人 不说 暗话 ， 我 骗个 访客 ^ _ ^,0,0,0,√
176,退游 白菜价 出号 ， 皮肤 光环 还 可以 ， 看 上 联系 关注 留言 dd,1,1,1,√
177,寻找 一个 小 哥哥 宠 着 我 的 小 哥哥 寻找 一个 小 哥哥 宠 着 我 的 小 哥哥 寻找 一个 小 哥哥 宠 着 我 的 小 哥哥 寻找 一个 小 哥哥 宠 着 我 的 小 哥哥,0,0,0,√
178,能 踩 hello 听话 常 在线 跟班 + 喜欢 踩 吞噬 的 私聊 我 回关 每天晚上 跟 我 一起 打白 开心 就 好 记得 私聊 我 主动 关注 你 明天 早上 全部 回复,0,0,0,√
179,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi 小妞 新群,1,1,1,√
180,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi . 小妞 新群,1,1,1,√
181,观战 50 人一 小时 0.6 元 100 人 观战 一 小时 1.15 元 网址 ： mrnor 点 cn 免费送 分站,1,1,1,√
182,逃杀 的 来,0,0,0,√
183,处 对象 资料 有 本人 照片 ， 迷雾 来 三个 躺 的 ， 处 各种 模式 的 队友,0,0,0,√
184,逃杀,0,0,0,√
185,买 光环 狍子 嘉年华 ， 塔坦杯 ， 2018 塔坦杯 ， 加 留言板 q2078374766 空间 信誉 可见 ， 看 我 自己 的 皮肤 2018 塔坦杯 狍子,1,1,1,√
186,额 ，,1,1,0,×
187,买 2018 爽片加 QQ : 2748922307 有萝莉 ， 制服 ， 丝袜 ， 剧情 ， 大学生 ， 网红 ， 明星 ， 直播 软件 ， 等等 ， 小 哥哥 快点 来 不 吧 啊啊啊,1,1,1,√
188,高质量 热门 观战 低至 0.1 元 ， 货源 网 24 小时 自助 下单 链接 : wst1 * * * 免费 搭建 专业 分战 ， 群号 : 810046821,1,1,1,√
189,紫框 榜 逃 打法,0,0,0,√
190,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi . 小妞 新群,1,1,1,√
191,观战 50 人一 小时 0.6 元 100 人 观战 一 小时 1.15 元 网址 ： mrnor 点 cn 免费送 分站,1,1,1,√
192,专一 送头 小 跟班 仙女 + q937788312 ， 三分钟 热度 就 别来 了 。 私聊 已开 y +,1,1,1,√
193,一分钱 买 50 人 观战 ， 一手 货源 群 ， 冰红茶 ， KFC 卡 ， 留言 攒 等 最低价 q 群 702070836,1,1,1,√
194,50 人 观战 一 小时 只要 0.60 元 ， 浏览器 搜索 ppp.52 nn . c ? n 即可 购买,1,1,1,√
195,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi 小妞 新群,1,1,1,√
196,买 2018 爽片加 QQ : 2748922307 有萝莉 ， 制服 ， 丝袜 ， 剧情 ， 大学生 ， 网红 ， 明星 ， 直播 软件 ， 等等 ， 小 哥哥 快点 来 不 吧 啊啊啊,1,1,1,√
197,这里 有片 / 大学生 / 萝莉 / * * / 网红 / 直播 软件 / 小视频 软件 / 统统 都 有加 扣 2528753088 * * 勿扰,1,1,1,√
198,逃 。,0,0,0,√
199,榜 逃 打法 加,0,0,0,√
200,一手 观战 招 实力 代 ， 理 ， 观战 低至 几分 钱 ， 各种 业务 冰红茶 cdk ， 群号 : 702070836,1,1,1,√
201,观战 50 人一 小时 0.6 元 100 人 观战 一 小时 1.15 元 网址 ： mrnor 点 cn 免费送 分站,1,1,1,√
202,最新 观战 ！ 全新 货源 平台 ！ 欢迎 主 站 代理 拿货 ！ 44ka . top 浏览器 打开 ！ 全网 最低价 ！ 实力 平台 ！ 限时 免费送 66gz . top 浏览器 打开,1,1,1,√
203,呼 ， 这个 月 充 了 俩 千多 了,1,1,0,×
204,观战 50 人一 小时 0.6 元 100 人 观战 一 小时 1.15 元 网址 ： mrnor 点 cn 免费送 分站,1,1,1,√
205,鸟儿 别 放假 了 售 （ 韩国 女主播 ， 网红 ， 萝莉 ， 明星 ， 丝袜 ， 一线天 ） 应有尽有 ， 市面上 有 的 都 有 ， 网站 或 软件 5r ， 有意 3413977306,1,1,1,√
206,7 元 1 千万部 极品 大 . 片 （ 杨幂 热巴 潜规则 都 有 ） QQ1053913518 买 了 可 免费 深夜 聊污 （ 同行 举抱 放心 添加 ）,1,1,1,√
207,最新 观战 ！ 全新 货源 平台 ！ 欢迎 主 站 代理 拿货 ！ 44ka . top 浏览器 打开 ！ 全网 最低价 ！ 实力 平台 ！ 限时 免费送 66gz . top 浏览器 打开,1,1,1,√
208,团 d 百万 吞,0,0,0,√
209,7 元 1 千万部 极品 大 . 片 （ 杨幂 热巴 潜规则 都 有 ） QQ1053913518 买 了 可 免费 深夜 聊污 （ 同行 举抱 放心 添加 ）,1,1,1,√
210,小 哥哥 别 给 鸟儿 放假 了 ， 买爽 片加 QQ ： 2748922307 什么 都 有 ， 萝莉 ， 制服 ， 萝莉 等等 还有 （ 直播 软件 各种 软件 ） 切记 ， 不买 勿扰,1,1,1,√
211,能 踩 hello 听话 常 在线 跟班 + 喜欢 踩 吞噬 的 私聊 我 回关 每天晚上 跟 我 一起 打白 开心 就 好 记得 私聊 我 主动 关注 你 明天 早上 全部 回复,0,0,1,×
212,50 人 观战 一 小时 只要 0.60 元 ， 浏览器 搜索 ppp.52 nn . c ? n 即可 购买,1,1,1,√
213,逃杀,0,0,0,√
214,恋爱 ＋ 逃杀 d,0,0,0,√
215,2018 最新 / 免费 / 看 / 片群 出炉 . 群号 879811126 ， 要钱 我 吃 shi 小妞 新群,1,1,1,√
216,逃杀 +,0,0,0,√
217,名人 不说 暗话 ， 我 骗个 访客 ^ _ ^,0,0,0,√
218,逃杀 ++++,0,0,0,√
219,一分钱 买 50 人 观战 ， 一手 货源 群 ， 冰红茶 ， KFC 卡 ， 留言 攒 等 最低价 q 群 702070836,1,1,1,√
220,处 对象 资料 有 本人 照片 ， 迷雾 来 三个 躺 的 ， 处 各种 模式 的 队友,0,0,0,√
221,逃杀 素质 手 生,0,0,0,√
